Response ID,"If you agree to these conditions, please click ""I consent to participate"" below. If you do not agree, click the “I do not consent to participate” option.

By agreeing to participate, you confirm that you are over 18 years of age.

 

I have read the above information.","What is your Prolific ID?

Please note that this response should auto-fill with the correct ID.","In Novel A, how long is the trail that Sam takes?","In Novel A, what plant does Sam rest against?","In Novel B, when does Alex go to the cafe?","In Novel B, what is the material of the chair Alex sketches?",chosen_story,"Your opinion is fundamental to understand reader preferences. Please take your time to answer this question.

In your own words, briefly share your motivation for your choice (minimum 200 characters, or about 40 words).",Your age:,gender,Your gender - Prefer to self describe: - Text,What was your total family income before taxes during the past 12 months?,List of Countries,Do you currently reside in the United States?,What is your current United States Zip Code?,How would you describe your political views?,"In Novel A, when does Alex go to the cafe?","In Novel A, what is the material of the chair Alex sketches?","In Novel B, how long is the trail that Sam takes?","In Novel B, what plant does Sam rest against?",boh,first_gender,first_story,chose_woman,Treatment A,chose_hike,respondent_woman
R_3Dx8Ep8sR8m0mFE,I consent to participate.,65983790c9a4df557bdb7bd6,,,,,Novel A,"I would really like to know the motivations of the person in Story A. I liked how they went to a coffee shop and their first inclination was to draw. They were in the moment. Something I find very hard to do, so would enjoy seeing how the story plays out.",56-65,Woman,,"$25,000-$49,999",United States of America,Yes,32550,Moderate,Morning,Wood,6 miles,Juniper tree,,M,Coffee,0,Hike,0,1
R_8YkWjO9YRrz1r71,I consent to participate.,5d2f46f4c30834001aeb5abc,6 miles,Juniper tree,Morning,Wood,Novel B,"Neither, really. Neither is worth a further read. But if I had to choose, B has more of a storyline to follow. It would lead into entering art gallery, etc. A is just sitting around in the wilderness with no real plot.",36-45,Man,,"$50,000-$99,999",United States of America,Yes,00000,Conservative,,,,,,M,Hike,1,Other,0,0
R_2pPjK6EaDbndgR4,I consent to participate.,Nshaw1980,,,,,Novel A,I would be motivated to read novel a because it has left me in suspense to see if he is going to join the art show or not. I like how it was very descriptive of how he woke up with a cramp in his leg to the burley man shoveling snow.,36-45,Woman,,"More than $200,000",United States of America,Yes,20882,Conservative,Morning,Wood,6 miles,Juniper tree,,M,Coffee,0,Hike,0,1
R_8p4rjsVbOyEXUlz,I consent to participate.,6612f75ce40b8b512658beaf,6 miles,Juniper tree,Morning,Wood,Novel A,I relate to the hiking and thoughts that go through your mind while doing it. The author really uses keywords to bring you in and make you feel like you are there. I can imagine walking with the person in the book and want to know more about their adventure.,36-45,Man,,"$100,000-$199,999",United States of America,Yes,28445,Conservative,,,,,,W,Hike,1,Hike,1,0
R_3JDi0sUk1mPU2b9,I consent to participate.,657369f4d954b5f06c983a48,6 miles,Juniper tree,Morning,Wood,Novel B,"I’m curious to see if she enters to the art exhibit. I also like the serenity of the coffee shop and early morning vibes. The other novel seems to hold a mystery so I might be changing my mind and would choose the novel A. Ugh, they both are interesting",56-65,Woman,,"$50,000-$99,999",United States of America,Yes,72120,Very conservative,,,,,,M,Hike,1,Other,0,1
R_7IoZodAJYWitQpj,I consent to participate.,663b782b5f1376d60dbb64f4,,,,,Novel B,I chose Novel B because the author interwove a bit of mystery in both the beginning and the end. It makes you kind of want to keep reading to find out what they mean by “imagined” version of her and what the letter says. ,25-35,Woman,,"Less than $25,000",United States of America,Yes,91104,Liberal,Morning,Wood,6 miles,Juniper tree,,M,Coffee,1,Hike,1,1
R_2KJDFLGx9mYGLNt,I consent to participate.,6640c062dbc5620b17c3f6d8,6 miles,Juniper tree,Morning,Wood,Novel A,"The end of the passage from Novel A suggested a mystery regarding the letter in the backpack which I found intriguing. I wanted to know what the letter said and how it related to the story. I also found the passage from Novel A to be more evocative. 
",36-45,Woman,,"$100,000-$199,999",United States of America,Yes,27410,Moderate,,,,,,M,Hike,0,Other,1,1
R_2flETEWWg21T2hi,I consent to participate.,653fb726d2b45b03e76d0c42,,,,,Novel B,"Although both novels were written in a similar voice, I felt that I was drawn more into novel B. The opening of novel B felt strange and specific in a way that I liked. The main character describes a version of himself where he eats ""all of the greens in his fridge."" This immediately made me want to know more about Sam and how he thinks and what he's going through. I was also eager to continue reading because I wanted to find out more about the letter that is introduced at the end. I wanted to know what the letter says and what it's connected to in Sam's story. ",25-35,Woman,,"$100,000-$199,999",United States of America,Yes,10463,Very liberal,Morning,Wood,6 miles,Juniper tree,,W,Coffee,0,Other,1,1
R_5hfEXmmu5CqbRol,I consent to participate.,6643dcdaee723e90ec897171,6 miles,Juniper tree,Morning,Wood,Novel A,The mystery of the letter she was about to read has my full attention. The descriptions of the scene also had my interest.  I'm not really interested in an artist who snowboards. It seemed like less mystery and more predictable scenario.,46-55,Woman,,"$100,000-$199,999",United States of America,Yes,75407,Conservative,,,,,,W,Hike,1,Hike,1,1
R_5suHQPi59qsOLxo,I consent to participate.,6612c6bf60252716c439e878,6 miles,Juniper tree,Morning,Wood,Novel A,"Both sound really interesting, but as a Washingtonian, I am more curious about Sam and why he left Olympia, what’s in the letter, etc.i also appreciated the writing style and the imagery of both but maybe the first one a bit more. ",46-55,Woman,,"$50,000-$99,999",United States of America,Yes,99223,Liberal,,,,,,M,Hike,0,Other,1,1
R_1AXNuJAZlzezL1S,I consent to participate.,5f12814ef4df831e834ada72,,,,,Novel A,Although both of these novels are the type I would not read I would prefer Novel A. It had a better flow to it. It was also able to keep me engaged and interested throughout the whole passage. The other novel (B) had my mind drifting off by the end of it.  I believe that is because Novel A had more engaging and descriptive words used that keep the reader more engaged. However overall they seemed to have a similar style.,36-45,Man,,"$50,000-$99,999",United States of America,Yes,11235,Moderate,Morning,Wood,6 miles,Juniper tree,,W,Coffee,1,Other,0,0
R_1phRXDHZgQYVPzq,I consent to participate.,6639294aecf47d087656fe71,6 miles,Juniper tree,Morning,Wood,Novel B,I like the soft side of novel b.  The way the author describes the snow and the cafe. The way the morning is described is also something I enjoyed.. I think novel b will end up with her submitting a piece of art and id like to see if I'm right.  ,36-45,Woman,,"$50,000-$99,999",United States of America,Yes,06340,Conservative,,,,,,M,Hike,1,Other,0,1
R_1gIbdeJROYOe0NO,I consent to participate.,663a5c27da2d5c4350225119,6 miles,Juniper tree,Morning,Wood,Novel A,"It was a little bit easier to read and imagine. I prefer imagining the scenery of nature rather than a cafe and Sam was a little bit easier to relate to than Alex. Even though I thought it was very cheesy, I am also somewhat curious what was in his letter.",25-35,Woman,,"$100,000-$199,999",United States of America,Yes,95821,Liberal,,,,,,M,Hike,0,Other,1,1
R_1cYXXMXjk3Xu5IE,I consent to participate.,56c3cf0511e0940006d43f99,,,,,Novel B,"This was a difficult choice. Both of the excerpts were intriguing in their own right. Character A's struggle with self worth, and Character's supposed precipice of her life. The imagery in the second novel excerpt felt visceral to me. I feel intrigue to learn more.",36-45,Woman,,"Less than $25,000",United States of America,Yes,27360,Liberal,Morning,Wood,6 miles,Juniper tree,,M,Coffee,1,Hike,1,1
R_5CBmCOUAfKZzMex,I consent to participate.,663a6f6b68c96cd39939b531,6 miles,Juniper tree,Morning,Wood,Novel A,"While I think that novel B was actually better written, novel A had more at stake to me. What did the note mean about reading at the end? Was she dying? Was the note written by someone who she had loved who died? I want to know more. With novel B, while whether or not he submits art to the gallery does matter for his life, the stakes are just lower and I care about the answer less.",36-45,Woman,,"$100,000-$199,999",United States of America,Yes,49446,Moderate,,,,,,W,Hike,1,Hike,1,1
R_2zN2mK3v4o3WHvF,I consent to participate.,5b14791ebd9c31000156e8ab,,,,,Novel A,"I would read A only because it seems to have some sort of theme. Both of them sound like they were written by AI according to some algorithm. They sound stilted and methodical. I wouldn't want to read either, but I would choose A.",56-65,Woman,,"$25,000-$49,999",United States of America,Yes,48458,Very liberal,Morning,Wood,6 miles,Juniper tree,,W,Coffee,1,Other,0,1
R_8GNayaSJzn1Ooxi,I consent to participate.,60bcf028e6c458f07b676b5e,6 miles,Juniper tree,Morning,Wood,Novel A,I would prefer to read the first novel because it was more descriptive and really helped me to imagine being in the place Sam was and then the ending was a cliff hanger and really brought me into wanting to know what the letter was about and why she moved from Washington.,36-45,Man,,"$100,000-$199,999",Canada,Yes,77708,Liberal,,,,,,W,Hike,1,Hike,1,0
R_71nV3FZ6y1dyJhZ,I consent to participate.,6630fa02e113b5684f5f6771,,,,,Novel B,"The novel is probably not going to be in depth about Sam's hiking but I enjoy hiking myself so without knowing what the genre or the plot of the two novels are, I am more interested in continuing to read about Sam",25-35,Woman,,"$100,000-$199,999",Hong Kong (S.A.R.),Yes,10029,Liberal,Morning,Wood,6 miles,Juniper tree,,W,Coffee,0,Other,1,1
R_6Tnia1ZopUZIBrD,I consent to participate.,5d14c08b63f5660018e9c499,6 miles,Juniper tree,Morning,Wood,Novel A,I found Novel A more entertaining and seamed to have more adventure in it. She seemed like that she was going to have many challenges and that's what I like to read. Novel B sounded kind of slow and may have had a slow developing story. I don't mind reading those stories but out of the two Novels I would choose A because of this.,46-55,Man,,"$50,000-$99,999",United States of America,Yes,33711,Liberal,,,,,,W,Hike,1,Hike,1,0
R_7ffy4iiNXXVoihp,I consent to participate.,6429d2a209001f0ed092be98,,,,,Novel B,Where both novel beginnings drew you into the character and what could possibly come after I felt Novel B left you hanging on already a small mystery.  I think the unknown aspect for me always makes me want to read more and also makes me think about the story where I left off and what happened more usually then a novel where I know most things.  I think its essential to have that unknown factor in stories.  The other thing I enjoy is the detail involved.  Where you can actually put it all together and imagine the actual place and details that is around the character/s. ,46-55,Man,,"$50,000-$99,999",United States of America,Yes,32779,Very liberal,Morning,Wood,6 miles,Juniper tree,,W,Coffee,0,Other,1,0
R_2arGLCCnvZHQ568,I consent to participate.,571164253d47e80009635a80,,,,,Novel B,"I chose Novel B because it left me wondering about the letter!  What was in it?  Who wrote it?  A mystery, of sorts.  I love a good mystery, and there is a hint here, that makes me think this might be where the book is headed.  I also liked the straightforward writing style, there is not a lot of unnecessary, flowery prose there. I could also visualize the scenario easily.  Novel A, despite all it's very descriptive wording, did not leave me ""wanting to know more"".",65+,Woman,,"$50,000-$99,999",United States of America,Yes,32504,Liberal,Morning,Wood,6 miles,Juniper tree,,W,Coffee,0,Other,1,1
R_31gPyfSgiCb2YqM,I consent to participate.,610f615654fdbcac0f485a9d,6 miles,Juniper tree,Morning,Wood,Novel A,"It was more mysterious and caught my attention more than the second book did. I want to know what the note said, because it made it seem as though she was only on the trail because of the letter. It seems like something I would enjoy reading.",25-35,Woman,,"$25,000-$49,999",United States of America,Yes,37312,Moderate,,,,,,W,Hike,1,Hike,1,1
R_5eMDUIJ8ehaXf0t,I consent to participate.,620bda0aa922fc3f247f64c2,6 miles,Juniper tree,Morning,Wood,Novel B,I like when someone draws and sketches what their imagination is about. They can bring it to life and make it look very realistic. It can set the tone and imagination of the audience that reads the novel and we can be put into the characters shoes.,25-35,Woman,,"Less than $25,000",United States of America,Yes,36545,Moderate,,,,,,W,Hike,0,Hike,0,1
R_50dh6cAVXcSNfpA,I consent to participate.,57813c9d275be60001357faa,,,,,Novel B,"Novel A did nothing to capture my attention, and there didn't seem to be any kind of mystery that would keep me reading to the next page-- or no unknown that intrigued me.
Novel B felt intriguing, what could the letter be? I was curious. I also felt more drawn by the atmosphere and setting.",36-45,Woman,,"$50,000-$99,999",United States of America,Yes,33567,Conservative,Morning,Wood,6 miles,Juniper tree,,M,Coffee,1,Hike,1,1
R_15FlUymEWZtVkCu,I consent to participate.,60fdf6b3117c2aeb33f2dd99,6 miles,Juniper tree,Morning,Wood,Novel A,"I chose to keep reading novel A because I was drawn in by the mystery of the letter. O wanted to know the meaning of the note scribbled where a name should go, and what the letter may say. Novel B painted a nice image in my mind but the story wasnt very compelling to me. ",25-35,Woman,,"$50,000-$99,999",United States of America,Yes,97005,Very liberal,,,,,,W,Hike,1,Hike,1,1
R_2vjI70REpmIFN0F,I consent to participate.,65a3d56d9a411183fafbbf93,6 miles,Juniper tree,Morning,Wood,Novel A,"I want to know what the letter is. I'm curious why Sam is there and why she moved from Washington. I'm interested to know what happens next. 
I don't care much for snow, or books that are set completely in snowy conditions. ",56-65,Woman,,"More than $200,000",United States of America,Yes,40241,Liberal,,,,,,W,Hike,1,Hike,1,1
R_7fV34kbgJa4DXox,I consent to participate.,63d5319b4c30d01351b282b9,,,,,Novel A,"The tone and style of novel A was more captivating than novel B. The language was more poetic and evocative. You get a better sense of Alex as a character. As a reader, you get immersed in the world and let it take you to the reveal that she's an artist in resistance to something.",25-35,Woman,,"$100,000-$199,999",United States of America,Yes,78664,Very liberal,Morning,Wood,6 miles,Juniper tree,,W,Coffee,1,Other,0,1
R_1iQIoKfAo5CZxpf,I consent to participate.,5c281f7170d93a0001211396,6 miles,Juniper tree,Morning,Wood,Novel A,"I prefer the subject matter of Novel A, it was about nature and that topic appeals to me more. Also the main character seemed more relatable as he cursed when he was in pain. I also found Novel A to be more memorable.",25-35,Woman,,"More than $200,000",United States of America,Yes,33131,Moderate,,,,,,M,Hike,0,Other,1,1
R_1dEpUGRCQN3moyq,I consent to participate.,5ba184ad35768a0001437bdc,,,,,Novel B,"Novel A was interesting and I did wonder whether Alex would win with whatever artwork he submitted to the art gallery. But Novel B had a far more interesting premise with the letter. The fact that they had to open it only after they reached the trailhead makes me wonder what was inside of it, and who had sent it. It's much more of a mystery than Novel A, which garners more intrigue.",25-35,Woman,,"Less than $25,000",United States of America,Yes,33037,Moderate,Morning,Wood,6 miles,Juniper tree,,M,Coffee,1,Hike,1,1
R_1Vv8uP4fLtCWAEh,I consent to participate.,5589629dfdf99b72ead88339,,,,,Novel B,"I enjoyed Novel A more. But, it had reached a point where it was only going to get worse. Novel B was ok. But, the note had me interested. I wanted to know what it says. I thought the story would only get better from here.",36-45,Man,,"$25,000-$49,999",United States of America,Yes,02920,Conservative,Morning,Wood,6 miles,Juniper tree,,M,Coffee,1,Hike,1,0
R_1CE1REskM5jUehO,I consent to participate.,615dd0b0a024ba4f4b4f7c24,6 miles,Juniper tree,Morning,Wood,Novel A,"There was an element of suspense and mystery that made me ask myself questions. If he knew he was going hiking and knew he had to get up early, why did he snooze through 5 alarms and then seem surprised that the trai was 6 miles long? Why did he take the day off? Then, at the end, he looked at an envelope with a note that said, ""Read me at the end."" I wanted to read more. Story B was ordinary.",36-45,Woman,,"$25,000-$49,999",United States of America,Yes,30747,Liberal,,,,,,M,Hike,0,Other,1,1
R_3QEFc72TmHWxLZq,I consent to participate.,6568bfff6a7f7c6e86804e39,,,,,Novel A,"Based on the short amount of text provided, I am more interested in what happens to Alex than what happens to Sam. Novel A gave me a clearer picture of who Alex is than Novel B did for Sam. The end of the excerpt from Novel B did seem interesting, so I would likely read it as well, but Novel A would be my first choice.",25-35,Woman,,"$100,000-$199,999",United States of America,Yes,62613,Very liberal,Morning,Wood,6 miles,Juniper tree,,W,Coffee,1,Other,0,1
R_3mK5UQ1IWuZTkZf,I consent to participate.,664664240be115e40b9ff6b6,,,,,Novel B,"For me, the desert scenery of novel b is more interesting than the wintry scenery of novel a. I'm also more interested as to why she is there hiking, in novel b, yet not so much interested in the art gallery of the prior novel a. ",36-45,Man,,"$50,000-$99,999",United States of America,Yes,73112,Moderate,Morning,Wood,6 miles,Juniper tree,,M,Coffee,1,Hike,1,0
R_2EZ1MVtwMVhx3LH,I consent to participate.,60fb383e30537b88f361934e,,,,,Novel B,"Firstly, I enjoy the outdoors and hiking, but secondly the character seems very real and authentic to me.  The descriptiveness of the environment was very vivid in my mind.  I was also very anxious to learn what the contents of the letter would be.",46-55,Man,,"$100,000-$199,999",United States of America,Yes,30052,Conservative,Morning,Wood,6 miles,Juniper tree,,M,Coffee,1,Hike,1,0
R_2LZ1zNvTPveifOD,I consent to participate.,63d410114a361b7bee9c12b9,6 miles,Juniper tree,Morning,Wood,Novel A,"While I liked both of the excerpts from the novels, novel a was more intriguing to me. Novel B had a lot of detail and was really interesting but it seems like the re were more steps to figure out what was about to happen. Novel A seemed like a quicker payoff because I am already interested in the letter she is about to read right then.",36-45,Woman,,"$50,000-$99,999",United States of America,Yes,,Very liberal,,,,,,W,Hike,1,Hike,1,1
R_3K0xQmOLlspumqm,I consent to participate.,6629a94eb6a02c614f1279cc,,,,,Novel B,"I'd be curious to learn more about what the letter was about in novel B.  I also felt like novel A jumped around too much, like trying to jam a lot into a short space.  I didn't feel connected to him.  In novel B, I could also relate to the her a bit because I am not a hot weather person and need frequent water breaks when out during hot weather.  She just seemed more relatable.",46-55,Woman,,"$100,000-$199,999",United States of America,Yes,60515,Liberal,Morning,Wood,6 miles,Juniper tree,,M,Coffee,1,Hike,1,1
R_6e8kDPohdw3l2uM,I consent to participate.,6640bfba7d66f58accbe7d48,6 miles,Juniper tree,Morning,Wood,Novel A,I would choose to continue reading novel A. I prefer it over novel B because it seems less pretentious and the character is more interesting than someone just sitting at a cafe and drawing. Also the character in novel A is more relatable and at least something is going on. ,25-35,Woman,,"More than $200,000",United States of America,Yes,33404,Moderate,,,,,,M,Hike,0,Other,1,1
R_76a11Kj2JSpKJ4t,I consent to participate.,663cc521ca7111a7718b612b,6 miles,Juniper tree,Morning,Wood,Novel A,I would continue reading novel A because I like the mystery that came along with the note in the bottom of her bag. It's intriguing. The possibilities of what the note could be about are endless. I also enjoy that she was outside and there were instructions on when to read the note and that she hadn't just opened it at any time. ,25-35,Woman,,"Less than $25,000",United States of America,Yes,44090,Moderate,,,,,,W,Hike,1,Hike,1,1
R_2dGZlNUWuSk8oLg,I consent to participate.,5a9a6f5f35237b000112920f,6 miles,Juniper tree,Morning,Wood,Novel A,I live in Arizona and so I felt drawn to the story. I actually put myself in that story right away with just one page. I'm so curious to know what that note was or from who. To be honest both stories seemed OK but I picked A mostly because it's in Tucson.,56-65,Woman,,"$25,000-$49,999",United States of America,Yes,85023,Very liberal,,,,,,M,Hike,0,Other,1,1
R_7cYyPZ0Gx8jqNS1,I consent to participate.,663f7411b51236cb21cb5648,6 miles,Juniper tree,Morning,Wood,Novel B,"Novel B described a character and setting that truly captured my attention. The description of the cafe setting was very vivid, one that I could easily picture in my mind. Alex, though described quite briefly, comes to life as a character who is very realistic and relatable. It gives the set up to what sounds like a very interesting and promising romance, or even a mystery solving, story. ",18-24,Woman,,"$25,000-$49,999",United States of America,Yes,29640,Very liberal,,,,,,W,Hike,0,Hike,0,1
R_1OUpBS4XdaBPBOC,I consent to participate.,614f4893a7f27d638ea5e58c,6 miles,Juniper tree,Morning,Wood,Novel B,"Both snippets are attractive, but I feel like novel B is actively leading me toward something specific, where novel A is leading me toward something nonspecific.  I was kind of looking for novel A to take me in a direction where something unusual happened on the hike (like a mountain lion sighting) but at the end of the snippet I realized that the hike was just a setup for finding the note.  I could definitely tell that novel B was a setup for a submission to an art gallery, and the setup activity (drawing in a cafe) was very relevant to that art gallery tie.  Novel B had ""pull forward"" and novel A had less.",56-65,Man,,"$100,000-$199,999",United States of America,Yes,48104,Moderate,,,,,,W,Hike,0,Hike,0,0
R_2rkvj90mXdA2N0I,I consent to participate.,663a245615539171d9a3611a,,,,,Novel B,"I would continue reading novel B because as a fan of the outdoors, I enjoyed the descriptive wording of her atmosphere, my interest was also extremely piqued by the letter and its contents. It created a mix of calm emotions and suspense of what the letter could be.",18-24,Woman,,"$25,000-$49,999",United States of America,Yes,24504,Moderate,Morning,Wood,6 miles,Juniper tree,,M,Coffee,1,Hike,1,1
R_7pRMBSMzUEqe8Qp,I consent to participate.,614e8713ba7000ac40031538,6 miles,Juniper tree,Morning,Wood,Novel A,"I chose A because I just relate to the character more. I enjoy being out in nature and hiking.  I liked the flow of the story so far, and would definitely read further to see if the story remained interesting for me. I'm just not that interested in art or drawing, as it seemed Story B was about.",46-55,Woman,,"$100,000-$199,999",United States of America,Yes,20148,Conservative,,,,,,W,Hike,1,Hike,1,1
R_5iWIAczPRObz9HK,I consent to participate.,6595826f3295eff742fead3b,6 miles,Juniper tree,Morning,Wood,Novel A,"I was more interested to know about Sam's history, why she moved to Tucson, what she was doing there, and what the note was about. Adam's story is more straightforward and I was less intrigued with his life.",25-35,Woman,,"$100,000-$199,999",United States of America,Yes,10018,Very liberal,,,,,,W,Hike,1,Hike,1,1
R_2M3Wj4Pc8A24KMK,I consent to participate.,663f765f9fa234227ab6805c,6 miles,Juniper tree,Morning,Wood,Novel A,"Novel A seemed more optimistic and adventurous. I liked the imagery of the trail and my curiosity was piqued by the letter in the backpack. What was the letter? I'd like to know! 
Novel B seemed like a good cozy read, but maybe a bit more boring than Novel A. It seemed a little more broody and depressing. I didn't really want to know what happened to Alex as much as I wanted to know what would happen with Sam. I can't remember, but I wasn't sure there was a hook or mystery developing like there was with novel A. ",25-35,Woman,,"$25,000-$49,999",United States of America,Yes,32609,Very liberal,,,,,,M,Hike,0,Other,1,1
R_2l3pWxFMOEFqZlL,I consent to participate.,65c13bafd3b6c59df35a0ee5,6 miles,Juniper tree,Morning,Wood,Novel A,Novel A is easier to udnderstand in my opinion. It requires little comprehension to know what is being talked about in the text. Novel A is adventurous and sparks curiosity. I wanted to know how the hiking trip of Sam ended up.,25-35,Woman,,"$50,000-$99,999",Somalia,Yes,40214,Liberal,,,,,,W,Hike,1,Hike,1,1
R_3Cq2aJd8jJXIq2J,I consent to participate.,66310c0d7b8399db031573b9,,,,,Novel A,"I feel like I was more intrigued by Alex's story. I liked the descriptions of the morning, the snow, his surroundings, and what he's doing. I want to know more. Does he submit a piece of his art?! Does he meet the love of his life a fellow artist while at this event?!",36-45,Woman,,"$100,000-$199,999",United States of America,Yes,48473,Liberal,Morning,Wood,6 miles,Juniper tree,,M,Coffee,0,Hike,0,1
R_2q7jkrrAiF5vgG3,I consent to participate.,6112b593ca1b683da02678d3,6 miles,Juniper tree,Morning,Wood,Novel A,"Well A ended on a bit of a cliff hanger! And i actually want to know what happens next after just that short snippet of the story. I do like the concept of B because im a big artist myself, but I wasn’t “hooked” like i was with A",18-24,Woman,,"$100,000-$199,999",United States of America,Yes,48312,Very liberal,,,,,,W,Hike,1,Hike,1,1
R_1dyY7Y3R0dyqhfO,I consent to participate.,63e548215b42b3f3aa069dc2,,,,,Novel B,The character is relatable to me and I found mysteries being set up to be intriguing. I also found the character in this novel to be more interesting which made me want to read more of this novel. I do enjoy the way this novel starts out.,36-45,Man,,"$25,000-$49,999",United States of America,Yes,15132,Liberal,Morning,Wood,6 miles,Juniper tree,,M,Coffee,1,Hike,1,0
R_2QmjdZJ5TsbfdL4,I consent to participate.,664674384e07f7fd1878474d,,,,,Novel B,I think it is the mystery of it. Why did he move? Who was the letter from and what did it say? The brief passage got me wanting to read on. It also got me thinking of something I have been thinking about; Moving away and getting out and into nature more often.,36-45,Man,,"Less than $25,000",United States of America,Yes,01832,Liberal,Morning,Wood,6 miles,Juniper tree,,W,Coffee,0,Other,1,0
R_5MLIp7b6T0NM8dK,I consent to participate.,63b6c18f4f13282703357493,,,,,Novel A,"I think I identified more with the character in the first passage. Maybe it was just the fact that it was a woman. I liked the idea of seeing something interesting in the every day or seemingly mundane. Getting a cup of coffee is not just coffee, it us a time for reflection abd starting the day and making the decisions that you have to make day in and day out that may change the course of your entire life. ",36-45,Woman,,"$100,000-$199,999",United States of America,Yes,28174,Conservative,Morning,Wood,6 miles,Juniper tree,,W,Coffee,1,Other,0,1
R_3wgBI6hfBvb2C0E,I consent to participate.,612fd3208d3decaf3ec80bcc,,,,,Novel A,Because novel A seems more interesting to me because I like art and everything about it. Everyone should love art in some manner even if you don’t know anything about it. All the colors and the time it took for someone to do that,46-55,Woman,,"$25,000-$49,999",United States of America,Yes,75234,Very liberal,Morning,Wood,6 miles,Juniper tree,,W,Coffee,1,Other,0,1
R_2lY4H0doJnkEs6Z,I consent to participate.,65ad47397526e114408593b4,6 miles,Juniper tree,Morning,Wood,Novel A,"the novel was more entertaining, it provided enjoyment and engagement when reading it 
has a lot of moral lessons in it which I could use in my daily life 
the mystery and suspense, the mention of the letter with the note ""read me at the end; introduce the element of mystery. this could be a central motivation to keep me intrigued and wanting to uncover the story behind the letter 
this novel teaches the motivation in often  exploring self-discovery, change, and personal growth ",25-35,Woman,,"$50,000-$99,999",United States of America,Yes,20149,Liberal,,,,,,M,Hike,0,Other,1,1
R_6rC9OCfgJiol7Ef,I consent to participate.,6480bdf6d433e2e158870605,6 miles,Juniper tree,Morning,Wood,Novel A,"I would choose to continue reading Novel A for a number of reasons.  First, I am curious as to why Sam left Washington for Arizona.  I also would like to know what Sam was seeing in the water's reflections.  Was it memories or is it simply his own face?  Lastly, what is in the note?  Clearly, it holds meaning.  Is it from somone he loved and lost?",56-65,Woman,,"$100,000-$199,999",United States of America,Yes,06706,Moderate,,,,,,M,Hike,0,Other,1,1
R_5BbOEvjmZ7wOT7j,I consent to participate.,663f7c930c579090028deb73,,,,,Novel B,"I thought that the character in novel b was a little more relatable. I thought it was funny how she poked fun at herself in terms of imagining herself with better lifestyle habits, and needing to stop for water frequently. I also liked that there was mystery surrounding the letter she took from her bag. I wanted to read more to know who it was from and why she was asked to wait until the end of the trail before reading it. ",36-45,Woman,,"$100,000-$199,999",United States of America,Yes,19446,Liberal,Morning,Wood,6 miles,Juniper tree,,M,Coffee,1,Hike,1,1
R_32ITOGf8Vg04fiJ,I consent to participate.,652423321917b76cf71dfbbd,,,,,Novel B,The beginning of the novel didn't have a lot of details but there were comments about the character that left questions.  It described a situation with the letter that made you curious about what this story was about.  There was some suspense in the beginning to urge you to continue reading.,65+,Woman,,"Less than $25,000",United States of America,Yes,85719,Very liberal,Morning,Wood,6 miles,Juniper tree,,W,Coffee,0,Other,1,1
R_1jSvXWMKuUW8ycx,I consent to participate.,663502989088af2bb7a1e99a,6 miles,Juniper tree,Morning,Wood,Novel A,"I can identify with Sam. I find it hard to get up, but always have imaginings that I will do everything right in my life, eat the greens, exercise, and so on. 

Also, I want to know what the letter says and who it is from. 

 ",46-55,Woman,,"$100,000-$199,999",United States of America,Yes,45601,Very liberal,,,,,,W,Hike,1,Hike,1,1
R_5cjByZxf3gZmDXi,I consent to participate.,640251127760d333fdfa7bb8,6 miles,Juniper tree,Morning,Wood,Novel A,"I am curious about what the letter in Sam’s bag states. His entire day was already interesting. I was already getting bored reading about the sketches in novel b, and had no interest in whether she submitted her art. ",46-55,Man,,"$100,000-$199,999",United States of America,Yes,73099,Conservative,,,,,,M,Hike,0,Other,1,0
R_2ruhaFsdDEK3o0X,I consent to participate.,5d0c16dfaf24de00012ea950,6 miles,Juniper tree,Morning,Wood,Novel A,"I chose the first story because it really intrigued me at the end what the letter was going to say. From him moving to a new state, to him going hiking, it made me wonder and want to know more about why he was there and what the letter would say. I also would like to know who it is from and why he waited so long to read it. ",25-35,Woman,,"$50,000-$99,999",United States of America,Yes,90723,Moderate,,,,,,M,Hike,0,Other,1,1
R_5tl6tFVkkmxdTEd,I consent to participate.,65f0a43ed1d258cc4c97805d,,,,,Novel B,"I chose Novel B based on the introduction. The premise of that novel intrigued me due to Sam going on a long hike in the desert. It sounded like she may be embarking on some type of adventure, with possibly a lot of twists and turns. The ending would’ve made me curious enough to continue to read the novel. ",25-35,Woman,,"$100,000-$199,999",,Yes,04062,Liberal,Morning,Wood,6 miles,Juniper tree,,M,Coffee,1,Hike,1,1
R_2lCbjnswo99WrHb,I consent to participate.,63d432e27555fb4b5785cfcd,,,,,Novel B,"novel A was a bit too optimistic for me — i’m more of a realist like sam in novel B. the narrator in B was more relatable. also, the ending of B was much more captivating since the reader could easily assume what the narrator in A was going to do. ",25-35,Woman,,"$100,000-$199,999",United States of America,Yes,15601,Liberal,Morning,Wood,6 miles,Juniper tree,,W,Coffee,0,Other,1,1
